stage;round;label;team_home;team_away;group;game_date;kickoff_utc;
group;1;;Мексика;ЮАР;A;11.06.2026;22:00;
group;1;;Южная Корея;Чехия;A;12.06.2026;05:00;
group;1;;Канада;Босния и Герцеговина;B;12.06.2026;22:00;
group;1;;США;Парагвай;D;13.06.2026;04:00;
group;1;;Катар;Швейцария;B;13.06.2026;22:00;
group;1;;Бразилия;Марокко;C;14.06.2026;01:00;
group;1;;Гаити;Шотландия;C;14.06.2026;04:00;
group;1;;Австралия;Турция;D;14.06.2026;07:00;
group;1;;Германия;Кюрасао;E;14.06.2026;20:00;
group;1;;Нидерланды;Япония;F;14.06.2026;23:00;
group;1;;Кот-д'Ивуар;Эквадор;E;15.06.2026;02:00;
group;1;;Швеция;Тунис;F;15.06.2026;05:00;
group;1;;Испания;Кабо-Верде;H;15.06.2026;19:00;
group;1;;Бельгия;Египет;G;15.06.2026;22:00;
group;1;;Саудовская Аравия;Уругвай;H;16.06.2026;01:00;
group;1;;Иран;Новая Зеландия;G;16.06.2026;04:00;
group;1;;Франция;Сенегал;I;16.06.2026;22:00;
group;1;;Ирак;Норвегия;I;17.06.2026;01:00;
group;1;;Аргентина;Алжир;J;17.06.2026;04:00;
group;1;;Австрия;Иордания;J;17.06.2026;07:00;
group;1;;Португалия;ДР Конго;K;17.06.2026;20:00;
group;1;;Англия;Хорватия;L;17.06.2026;23:00;
group;1;;Гана;Панама;L;18.06.2026;02:00;
group;1;;Узбекистан;Колумбия;K;18.06.2026;05:00;
group;2;;Чехия;ЮАР;A;18.06.2026;19:00;
group;2;;Швейцария;Босния и Герцеговина;B;18.06.2026;22:00;
group;2;;Канада;Катар;B;19.06.2026;01:00;
group;2;;Мексика;Южная Корея;A;19.06.2026;04:00;
group;2;;США;Австралия;D;19.06.2026;22:00;
group;2;;Шотландия;Марокко;C;20.06.2026;01:00;
group;2;;Бразилия;Гаити;C;20.06.2026;03:30;
group;2;;Турция;Парагвай;D;20.06.2026;06:00;
group;2;;Нидерланды;Швеция;F;20.06.2026;20:00;
group;2;;Германия;Кот-д'Ивуар;E;20.06.2026;23:00;
group;2;;Эквадор;Кюрасао;E;21.06.2026;03:00;
group;2;;Тунис;Япония;F;21.06.2026;07:00;
group;2;;Испания;Саудовская Аравия;H;21.06.2026;19:00;
group;2;;Бельгия;Иран;G;21.06.2026;22:00;
group;2;;Уругвай;Кабо-Верде;H;22.06.2026;01:00;
group;2;;Новая Зеландия;Египет;G;22.06.2026;04:00;
group;2;;Аргентина;Австрия;J;22.06.2026;20:00;
group;2;;Франция;Ирак;I;23.06.2026;00:00;
group;2;;Норвегия;Сенегал;I;23.06.2026;03:00;
group;2;;Иордания;Алжир;J;23.06.2026;06:00;
group;2;;Португалия;Узбекистан;K;23.06.2026;20:00;
group;2;;Англия;Гана;L;23.06.2026;23:00;
group;2;;Панама;Хорватия;L;24.06.2026;02:00;
group;2;;Колумбия;ДР Конго;K;24.06.2026;05:00;
group;3;;Швейцария;Канада;B;24.06.2026;22:00;
group;3;;Босния и Герцеговина;Катар;B;24.06.2026;22:00;
group;3;;Марокко;Гаити;C;25.06.2026;01:00;
group;3;;Шотландия;Бразилия;C;25.06.2026;01:00;
group;3;;Чехия;Мексика;A;25.06.2026;04:00;
